Date,Product,Category,Price,Quantity Sold,Total Sales
2023-07-28,Mouse,Electronics,321.17,20,6423.4
2023-08-10,Printer,Accessories,308.24,5,1541.2
2023-01-06,Keyboard,Electronics,848.97,18,15281.46
2023-01-07,Tablet,Electronics,587.16,19,11156.04
2023-08-24,Monitor,Accessories,313.14,14,4383.96
2023-06-17,Laptop,Office,851.0,4,3404.0
2023-03-14,Mouse,Electronics,892.81,20,17856.2
2023-11-15,Monitor,Electronics,123.31,12,1479.72
2023-10-23,Laptop,Electronics,825.42,14,11555.88
2023-06-20,Keyboard,Electronics,148.01,10,1480.1
2023-03-29,Printer,Electronics,694.45,3,2083.35
2023-11-25,Headphones,Accessories,578.64,19,10994.16
2023-01-14,Printer,Electronics,755.54,13,9822.02
2023-05-11,Laptop,Accessories,587.41,16,9398.56
2023-12-17,Tablet,Electronics,163.2,8,1305.6
2023-06-23,Printer,Office,168.19,17,2859.23
2023-06-28,Tablet,Office,730.16,3,2190.48
2023-06-05,Keyboard,Electronics,458.31,12,5499.72
2023-10-18,Printer,Accessories,200.68,6,1204.08
2023-09-22,Tablet,Electronics,567.86,9,5110.74
2023-07-02,Monitor,Office,848.72,20,16974.4
2023-07-07,Tablet,Electronics,832.35,16,13317.6
2023-08-25,Mouse,Office,180.63,19,3431.97
2023-01-12,Tablet,Electronics,493.44,8,3947.52
2023-05-05,Headphones,Electronics,727.38,20,14547.6
2023-03-14,Smartphone,Accessories,501.21,5,2506.05
2023-05-11,Smartphone,Accessories,975.62,10,9756.2
2023-10-15,Headphones,Accessories,32.79,5,163.95
2023-12-09,Laptop,Electronics,35.6,10,356.0
2023-05-06,Mouse,Accessories,624.34,19,11862.46
2023-09-05,Smartphone,Electronics,840.5,13,10926.5
2023-10-27,Laptop,Office,207.63,3,622.89
2023-05-19,Monitor,Office,873.18,20,17463.6
2023-10-20,Mouse,Office,687.49,14,9624.86
2023-02-28,Printer,Accessories,864.9,4,3459.6
2023-07-07,Printer,Electronics,938.05,4,3752.2
2023-08-15,Mouse,Accessories,860.3,14,12044.2
2023-09-30,Mouse,Accessories,737.2,14,10320.8
2023-03-13,Smartphone,Accessories,509.54,20,10190.8
2023-02-06,Mouse,Accessories,662.85,17,11268.45
2023-03-23,Mouse,Electronics,992.46,8,7939.68
2023-10-13,Printer,Electronics,395.8,18,7124.4
2023-04-13,Headphones,Electronics,426.98,1,426.98
2023-05-17,Keyboard,Accessories,533.68,3,1601.04
2023-05-09,Laptop,Office,695.11,5,3475.55
2023-10-07,Smartphone,Office,209.94,13,2729.22
2023-04-28,Monitor,Office,779.6,13,10134.8
2023-05-01,Monitor,Electronics,92.52,8,740.16
2023-09-15,Tablet,Office,985.01,3,2955.03
2023-02-03,Laptop,Accessories,823.96,5,4119.8
2023-12-28,Mouse,Office,577.31,9,5195.79
2023-08-20,Printer,Electronics,389.33,10,3893.3
2023-10-27,Headphones,Office,209.65,3,628.95
2023-01-09,Monitor,Accessories,289.42,9,2604.78
2023-12-29,Monitor,Office,925.75,18,16663.5
2023-08-24,Monitor,Electronics,952.34,13,12380.42
2023-12-17,Headphones,Office,879.79,5,4398.95
2023-08-05,Smartphone,Electronics,70.64,15,1059.6
2023-06-20,Smartphone,Electronics,888.74,13,11553.62
2023-05-11,Keyboard,Accessories,457.4,8,3659.2
2023-12-03,Printer,Accessories,290.66,18,5231.88
2023-08-01,Printer,Office,712.12,5,3560.6
2023-05-11,Tablet,Accessories,672.68,13,8744.84
2023-08-17,Monitor,Accessories,20.35,4,81.4
2023-02-10,Headphones,Accessories,479.27,5,2396.35
2023-10-16,Mouse,Electronics,588.21,3,1764.63
2023-12-20,Headphones,Accessories,296.86,14,4156.04
2023-06-09,Keyboard,Electronics,477.22,1,477.22
2023-02-07,Tablet,Office,807.24,18,14530.32
2023-09-12,Printer,Electronics,817.79,13,10631.27
2023-10-21,Keyboard,Office,718.99,3,2156.97
2023-12-09,Monitor,Office,370.57,20,7411.4
2023-07-23,Tablet,Accessories,925.33,20,18506.6
2023-07-18,Smartphone,Accessories,778.63,20,15572.6
2023-10-16,Laptop,Accessories,818.06,1,818.06
2023-04-21,Printer,Electronics,84.36,19,1602.84
2023-10-20,Monitor,Office,153.77,12,1845.24
2023-05-23,Monitor,Electronics,517.31,4,2069.24
2023-09-21,Keyboard,Office,949.81,18,17096.58
2023-01-18,Tablet,Accessories,869.42,8,6955.36
2023-11-11,Smartphone,Accessories,111.64,8,893.12
2023-11-18,Monitor,Electronics,175.83,1,175.83
2023-07-30,Monitor,Electronics,383.84,17,6525.28
2023-08-28,Tablet,Office,902.4,4,3609.6
2023-02-16,Headphones,Office,49.94,6,299.64
2023-03-05,Laptop,Accessories,445.62,20,8912.4
2023-05-22,Monitor,Accessories,615.19,4,2460.76
2023-07-14,Smartphone,Electronics,636.51,9,5728.59
2023-04-11,Monitor,Electronics,350.87,13,4561.31
2023-08-14,Smartphone,Office,327.76,13,4260.88
2023-07-20,Smartphone,Accessories,114.91,16,1838.56
2023-01-16,Keyboard,Office,174.17,19,3309.23
2023-02-24,Printer,Office,174.8,14,2447.2
2023-07-25,Smartphone,Office,313.09,2,626.18
2023-04-16,Monitor,Electronics,248.62,11,2734.82
2023-12-21,Tablet,Electronics,232.34,7,1626.38
2023-11-11,Tablet,Electronics,465.58,12,5586.96
2023-10-23,Mouse,Office,208.61,5,1043.05
2023-02-09,Printer,Office,72.68,7,508.76
2023-04-28,Mouse,Office,189.49,18,3410.82
2023-08-18,Smartphone,Office,64.43,19,1224.17
2023-05-02,Smartphone,Electronics,462.87,12,5554.44
2023-12-30,Monitor,Electronics,438.08,2,876.16
2023-01-01,Tablet,Accessories,517.23,15,7758.45
2023-12-07,Laptop,Electronics,588.15,3,1764.45
2023-02-12,Laptop,Office,528.3,17,8981.1
2023-04-19,Tablet,Accessories,942.14,5,4710.7
2023-09-24,Smartphone,Electronics,815.24,7,5706.68
2023-12-09,Tablet,Electronics,445.4,1,445.4
2023-09-08,Keyboard,Electronics,199.95,9,1799.55
2023-12-01,Headphones,Electronics,142.17,11,1563.87
2023-08-22,Headphones,Electronics,783.44,15,11751.6
2023-06-24,Laptop,Office,206.19,20,4123.8
2023-07-23,Keyboard,Electronics,906.06,7,6342.42
2023-05-27,Monitor,Office,892.6,6,5355.6
2023-02-09,Monitor,Office,160.74,15,2411.1
2023-12-02,Tablet,Accessories,437.35,2,874.7
2023-02-07,Smartphone,Office,662.3,13,8609.9
2023-11-24,Laptop,Accessories,919.24,8,7353.92
2023-01-21,Monitor,Accessories,179.6,1,179.6
2023-08-27,Tablet,Accessories,951.23,11,10463.53
2023-10-10,Tablet,Office,607.22,7,4250.54
2023-06-08,Keyboard,Accessories,633.55,17,10770.35
2023-05-15,Smartphone,Accessories,161.31,3,483.93
2023-11-15,Laptop,Accessories,418.67,6,2512.02
2023-05-22,Smartphone,Accessories,652.25,7,4565.75
2023-02-03,Monitor,Accessories,552.75,6,3316.5
2023-01-18,Tablet,Office,100.46,13,1305.98
2023-01-08,Printer,Accessories,846.61,2,1693.22
2023-04-10,Printer,Accessories,528.18,19,10035.42
2023-01-31,Headphones,Electronics,589.58,10,5895.8
2023-04-07,Laptop,Accessories,253.7,6,1522.2
2023-03-16,Printer,Accessories,572.14,17,9726.38
2023-04-22,Mouse,Accessories,53.94,18,970.92
2023-10-19,Headphones,Electronics,828.89,6,4973.34
2023-05-24,Headphones,Electronics,164.12,15,2461.8
2023-09-05,Mouse,Accessories,819.22,6,4915.32
2023-08-27,Tablet,Electronics,979.49,9,8815.41
2023-08-24,Headphones,Electronics,575.53,9,5179.77
2023-05-16,Monitor,Accessories,19.03,17,323.51
2023-02-02,Mouse,Electronics,458.58,9,4127.22
2023-03-26,Laptop,Electronics,556.12,16,8897.92
2023-04-03,Keyboard,Electronics,83.73,18,1507.14
2023-10-28,Mouse,Office,232.53,19,4418.07
2023-10-29,Mouse,Accessories,199.65,5,998.25
2023-01-23,Laptop,Electronics,984.39,20,19687.8
2023-04-19,Laptop,Accessories,922.61,14,12916.54
2023-11-02,Keyboard,Office,766.32,4,3065.28
2023-07-10,Laptop,Accessories,951.41,12,11416.92
2023-02-10,Laptop,Electronics,52.57,16,841.12
2023-06-17,Keyboard,Accessories,815.12,15,12226.8
2023-03-01,Mouse,Electronics,715.83,16,11453.28
2023-07-16,Monitor,Office,169.33,10,1693.3
2023-06-27,Smartphone,Office,88.73,4,354.92
2023-06-10,Tablet,Electronics,200.56,20,4011.2
2023-05-22,Smartphone,Accessories,218.7,10,2187.0
2023-01-26,Keyboard,Accessories,896.19,20,17923.8
2023-02-26,Tablet,Accessories,494.28,5,2471.4
2023-05-02,Smartphone,Electronics,36.14,8,289.12
2023-01-22,Tablet,Accessories,868.57,12,10422.84
2023-02-11,Monitor,Accessories,256.17,7,1793.19
2023-06-08,Laptop,Office,759.61,6,4557.66
2023-02-21,Tablet,Electronics,474.25,7,3319.75
2023-12-17,Keyboard,Electronics,421.56,16,6744.96
2023-04-19,Monitor,Electronics,356.74,14,4994.36
2023-06-11,Headphones,Office,846.49,8,6771.92
2023-03-30,Keyboard,Electronics,801.06,8,6408.48
2023-06-11,Tablet,Accessories,422.98,9,3806.82
2023-12-21,Tablet,Office,391.87,10,3918.7
2023-12-08,Laptop,Office,944.59,15,14168.85
2023-03-27,Keyboard,Accessories,356.87,18,6423.66
2023-03-07,Smartphone,Accessories,106.5,12,1278.0
2023-01-22,Monitor,Accessories,453.09,13,5890.17
2023-10-19,Monitor,Office,858.37,10,8583.7
2023-04-03,Printer,Office,769.1,4,3076.4
2023-03-07,Monitor,Electronics,553.9,14,7754.6
2023-06-01,Headphones,Office,476.8,17,8105.6
2023-05-21,Tablet,Accessories,956.84,3,2870.52
2023-12-20,Monitor,Accessories,990.89,10,9908.9
2023-09-04,Keyboard,Electronics,843.11,3,2529.33
2023-04-09,Smartphone,Office,756.2,10,7562.0
2023-04-06,Headphones,Office,682.33,13,8870.29
2023-08-23,Laptop,Electronics,673.31,10,6733.1
2023-03-09,Keyboard,Accessories,385.89,4,1543.56
2023-11-17,Laptop,Office,808.51,5,4042.55
2023-08-07,Tablet,Accessories,944.43,16,15110.88
2023-09-30,Monitor,Electronics,724.82,18,13046.76
2023-11-19,Printer,Accessories,275.16,6,1650.96
2023-10-19,Printer,Electronics,530.78,19,10084.82
2023-08-10,Laptop,Office,509.77,1,509.77
2023-07-09,Tablet,Electronics,689.54,12,8274.48
2023-12-07,Mouse,Electronics,623.8,19,11852.2
2023-11-26,Keyboard,Office,856.43,13,11133.59
2023-01-01,Smartphone,Accessories,474.95,19,9024.05
2023-05-06,Printer,Office,773.37,17,13147.29
2023-02-19,Keyboard,Office,691.87,13,8994.31
2023-12-16,Keyboard,Accessories,725.92,10,7259.2
2023-01-14,Laptop,Office,340.97,3,1022.91
2023-08-22,Tablet,Office,34.58,4,138.32
2023-03-17,Monitor,Office,31.05,8,248.4
2023-04-02,Keyboard,Accessories,674.45,20,13489.0
2023-03-31,Printer,Electronics,255.79,9,2302.11
2023-06-27,Smartphone,Electronics,405.78,20,8115.6
2023-06-23,Monitor,Electronics,876.53,13,11394.89
2023-02-06,Printer,Accessories,183.6,14,2570.4
2023-01-17,Keyboard,Electronics,62.02,20,1240.4
2023-11-15,Monitor,Electronics,88.89,18,1600.02
2023-02-09,Keyboard,Electronics,455.2,11,5007.2
2023-11-30,Monitor,Office,554.73,14,7766.22
2023-05-11,Laptop,Accessories,962.48,6,5774.88
2023-02-13,Tablet,Electronics,654.64,17,11128.88
2023-03-14,Laptop,Accessories,204.84,20,4096.8
2023-01-19,Laptop,Accessories,181.92,1,181.92
2023-07-05,Keyboard,Office,777.57,7,5442.99
2023-09-25,Printer,Accessories,779.25,6,4675.5
2023-09-26,Tablet,Accessories,157.27,3,471.81
2023-07-13,Keyboard,Accessories,467.24,3,1401.72
2023-09-13,Mouse,Accessories,617.01,14,8638.14
2023-10-14,Keyboard,Office,898.3,17,15271.1
2023-06-08,Printer,Electronics,824.18,8,6593.44
2023-06-21,Laptop,Office,211.38,14,2959.32
2023-11-18,Printer,Office,268.12,18,4826.16
2023-05-27,Monitor,Electronics,867.04,13,11271.52
2023-05-09,Laptop,Electronics,126.05,7,882.35
2023-04-19,Laptop,Accessories,204.41,4,817.64
2023-03-21,Keyboard,Electronics,437.41,8,3499.28
2023-12-11,Laptop,Electronics,511.19,18,9201.42
2023-05-28,Keyboard,Accessories,137.72,9,1239.48
2023-01-14,Monitor,Electronics,402.5,4,1610.0
2023-09-29,Headphones,Accessories,160.85,7,1125.95
2023-11-18,Tablet,Electronics,395.65,13,5143.45
2023-10-03,Keyboard,Office,796.91,10,7969.1
2023-01-23,Mouse,Office,662.24,16,10595.84
2023-07-14,Printer,Office,779.95,3,2339.85
2023-05-02,Keyboard,Accessories,910.76,3,2732.28
2023-06-11,Tablet,Accessories,80.68,15,1210.2
2023-09-30,Mouse,Electronics,421.71,18,7590.78
2023-11-14,Printer,Office,641.04,18,11538.72
2023-05-06,Smartphone,Office,270.12,4,1080.48
2023-11-11,Headphones,Office,529.78,19,10065.82
2023-01-15,Smartphone,Accessories,369.89,13,4808.57
2023-04-08,Printer,Accessories,911.87,15,13678.05
2023-03-10,Printer,Accessories,823.77,2,1647.54
2023-09-08,Smartphone,Accessories,370.32,10,3703.2
2023-12-15,Monitor,Accessories,748.73,8,5989.84
2023-05-15,Printer,Electronics,538.68,7,3770.76
2023-03-11,Monitor,Electronics,43.26,17,735.42
2023-05-07,Headphones,Accessories,134.93,1,134.93
2023-10-23,Tablet,Office,844.5,6,5067.0
2023-05-10,Smartphone,Electronics,583.22,10,5832.2
2023-08-19,Monitor,Accessories,730.51,4,2922.04
2023-11-20,Tablet,Electronics,500.81,14,7011.34
2023-09-15,Printer,Electronics,745.23,2,1490.46
2023-08-30,Monitor,Office,145.46,20,2909.2
2023-08-25,Smartphone,Electronics,383.91,1,383.91
2023-02-23,Printer,Office,111.14,2,222.28
2023-08-14,Headphones,Electronics,904.85,6,5429.1
2023-06-01,Headphones,Office,601.99,6,3611.94
2023-01-18,Tablet,Electronics,141.47,8,1131.76
2023-12-19,Headphones,Electronics,511.94,8,4095.52
2023-08-07,Mouse,Office,982.21,5,4911.05
2023-09-09,Monitor,Accessories,858.99,11,9448.89
2023-10-03,Laptop,Electronics,453.87,19,8623.53
2024-01-01,Tablet,Electronics,161.14,11,1772.54
2023-04-07,Smartphone,Electronics,148.16,18,2666.88
2023-06-12,Smartphone,Accessories,835.34,19,15871.46
2023-05-01,Monitor,Office,615.47,6,3692.82
2023-07-07,Keyboard,Electronics,910.4,12,10924.8
2023-05-31,Tablet,Accessories,55.1,13,716.3
2023-01-11,Headphones,Electronics,557.37,5,2786.85
2023-05-18,Smartphone,Office,999.84,14,13997.76
2023-05-17,Headphones,Electronics,546.43,17,9289.31
2023-08-27,Monitor,Accessories,103.57,12,1242.84
2023-04-20,Smartphone,Office,517.9,19,9840.1
2023-07-31,Keyboard,Electronics,656.14,12,7873.68
2023-03-11,Mouse,Electronics,743.9,10,7439.0
2023-03-27,Tablet,Electronics,68.63,19,1303.97
2023-04-19,Smartphone,Accessories,337.5,16,5400.0
2023-02-14,Smartphone,Electronics,866.63,20,17332.6
2023-01-23,Tablet,Accessories,649.41,6,3896.46
2023-03-28,Keyboard,Electronics,200.85,10,2008.5
2023-12-19,Tablet,Electronics,179.69,5,898.45
2023-07-28,Monitor,Office,800.95,2,1601.9
2023-05-19,Keyboard,Electronics,408.5,19,7761.5
2023-02-10,Headphones,Accessories,219.93,8,1759.44
2023-08-08,Smartphone,Office,101.26,12,1215.12
2023-02-05,Smartphone,Office,150.54,7,1053.78
2023-12-31,Smartphone,Accessories,337.36,13,4385.68
2023-01-11,Laptop,Accessories,680.41,7,4762.87
2023-06-22,Printer,Electronics,189.99,20,3799.8
2023-03-23,Laptop,Office,406.82,3,1220.46
2023-01-03,Tablet,Office,928.2,3,2784.6
2023-01-21,Printer,Office,59.18,13,769.34
2023-10-19,Tablet,Office,663.39,19,12604.41
2023-01-16,Monitor,Electronics,250.46,11,2755.06
2023-01-15,Smartphone,Office,580.69,6,3484.14
2023-07-30,Mouse,Electronics,407.03,5,2035.15
2023-07-09,Keyboard,Office,995.38,7,6967.66
2023-07-27,Monitor,Electronics,248.6,6,1491.6
2023-06-17,Mouse,Accessories,965.96,19,18353.24
2023-07-02,Keyboard,Accessories,639.82,3,1919.46
2023-01-29,Headphones,Accessories,393.06,4,1572.24
2023-08-10,Mouse,Office,893.85,2,1787.7
2023-12-18,Keyboard,Electronics,781.92,5,3909.6
2023-12-13,Headphones,Office,267.47,15,4012.05
2023-08-17,Printer,Electronics,319.27,8,2554.16
2023-12-31,Headphones,Accessories,655.71,4,2622.84
